Model,2023,2024,2025,2026,2027,2028,2029,2030
Skoda Scala TSI,8775.0,11550.0,14325.0,17100.0,19875.0,22650.0,25425.0,28200.0
Skoda Scala TDI,9150.0,12300.0,15450.0,18600.0,21750.0,24900.0,28050.0,31200.0
Hyundai Kona*,17702.68,19371.81,20992.08,22548.89,24028.52,25418.34,26706.89,27884.01
