Model,2023,2024,2025,2026,2027,2028,2029,2030
Skoda Scala TSI,8220.0,10440.0,12660.0,14880.0,17100.0,19320.0,21540.0,23760.0
Skoda Scala TDI,8520.0,11040.0,13560.0,16080.0,18600.0,21120.0,23640.0,26160.0
Hyundai Kona*,17362.14,18697.45,19993.67,21239.11,22422.82,23534.67,24565.51,25507.21
