Rok,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Jaderné (JE),4290.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0,4289.999999999999,4289.999999999999,4289.999999999998,4289.999999999998,4289.999999999998,4289.999999999999,4290.0
Parní (PE),10836.7044,10741.852,10849.975000000002,11075.524000000001,11075.442000000001,10729.869,10058.848,9527.695,9415.897,9222.205083450506,8854.71453591515,8313.425357393939,7598.337547886866,6709.451107393936,5646.766035915149,4410.282333450503,3000.0
Vodní (VE),1091.0492,1094.9805,1100.1906000000001,1112.2611,1112.5196000000003,1113.20809,1113.91253,1114.63113,1113.57568,1112.4803400495691,1111.69795437069,1111.2285229633626,1111.0720458275869,1111.2285229633626,1111.69795437069,1112.4803400495691,1113.57568
Přečerpávací (PVE),1171.5,1171.5,1171.5,1171.5,1171.5,1171.5,1171.5,1171.5,1171.5,1171.5,1171.5,1171.4999999999998,1171.4999999999998,1171.4999999999998,1171.4999999999998,1171.4999999999998,1171.5
Větrné (VTE),278.1909,282.1859,282.1549,308.2074,316.7074,339.4244,339.4244,339.4244,339.0949,367.1305045600194,428.61683281717603,523.55388477147,651.9416604229014,813.7801597714699,1009.069382817176,1237.8093295600193,1500.0
Fotovoltaické (FVE),2076.7944199999956,2078.250369999995,2075.664339999996,2076.6260199999956,2061.9714399999957,2069.074579999996,2079.5208899999966,2087.705109999996,2100.3769699999957,2307.283175328978,2740.7741444925373,3400.849877490673,4287.510374323385,5400.755634990674,6740.585659492539,8307.000447828981,10100.0
Plynové (PLE),2196.669,2218.878,2237.492,2259.487,2274.4098,2301.2039999999997,2325.2493,2346.6517999999996,2375.718,2420.3857749049853,2481.7299712656895,2559.750589082112,2654.4476283542526,2765.821089082112,2893.870971265689,3038.597274904985,3200.0
