Model,2023,2024,2025,2026,2027,2028,2029,2030
Skoda Scala TSI,9330.0,12660.0,15990.0,19320.0,22650.0,25980.0,29310.0,32640.0
Skoda Scala TDI,9780.0,13560.0,17340.0,21120.0,24900.0,28680.0,32460.0,36240.0
Hyundai Kona*,18026.81,19978.48,21819.63,23517.89,25044.59,26375.27,27489.9,28372.94
