Model,2023,2024,2025,2026,2027,2028,2029,2030
Skoda Scala TSI,8775.0,11550.0,14325.0,17100.0,19875.0,22650.0,25425.0,28200.0
Skoda Scala TDI,9150.0,12300.0,15450.0,18600.0,21750.0,24900.0,28050.0,31200.0
Hyundai Kona*,17689.01,19315.4,20849.69,22264.91,23537.16,24646.06,25574.92,26310.79
