Rok,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Jaderné (JE),30324.873359999998,26840.84765,24104.22215,28339.57704,29921.31117,30246.20884,30043.27977,30731.180379999998,31021.810439999997,31177.855521385078,31289.316293802985,31356.192757253724,31378.484911737294,31356.1927572537,31289.316293802935,31177.855521384998,31021.8104399999
Parní (PE),44420.48044900002,44819.831069999986,45704.07048,45431.68026799999,45070.75458400001,41386.69089199999,35198.10092899999,38631.45199599999,41017.314489,42126.37968688637,42293.40499890781,41518.39042506432,39801.33596535587,37142.24161978249,33541.10738834417,28997.933271040914,23512.719267872722
Vodní (VE),1909.7624139999998,1795.3870110000005,2001.4890090000004,1869.5340729999996,1627.5183729999997,2008.6745289999997,2144.2551399999998,2410.234478999999,2093.4653829999993,1755.3288964585556,1515.8879977503818,1375.1426868754777,1333.092963833843,1389.7388286254777,1545.080281250382,1799.1173217085561,2151.84995
Přečerpávací (PVE),1051.526242,1275.96194,1201.54753,1170.455101,1050.588187,1166.6572390000001,1293.078659,1211.404417,989.7083600000001,801.3836655944802,673.3212674476804,605.5211655596005,597.9833599302405,650.7078505596004,763.6946374476802,936.94372059448,1170.4551
Větrné (VTE),476.54452799999996,572.6115679999999,496.960352,591.038344,609.3297090000001,700.033962,699.0834940000001,601.5541019999998,641.330471,710.84148348775,784.892974945463,863.484945373139,946.6173947707782,1034.2903231383802,1126.5037304759453,1223.2576167834734,1324.5519820609647
Fotovoltaické (FVE),2127.337433200006,2267.2838052999996,2134.2170910000027,2196.908188999999,2341.593351999991,2287.753283000005,2237.2686660000027,2152.218277000006,2298.3478590000045,2553.2675028467256,2887.7523145801824,3301.8022942003754,3795.4174417073045,4368.597757100969,5021.3432403813695,5753.653891548507,6565.52971060238
Plynové (PLE),5702.9690009999995,6321.835386999997,7663.125704999999,7442.095012,7381.284979999999,9195.217820999998,9830.833334999996,9169.907151,6441.150279,4151.785192209433,2756.937707914415,2256.6078261149464,2650.795546811028,3939.5008700026583,6122.723795689838,9200.464323872568,13172.722454550847
