Model,2023,2024,2025,2026,2027,2028,2029,2030
Skoda Scala TSI,7665.0,9330.0,10995.0,12660.0,14325.0,15990.0,17655.0,19320.0
Skoda Scala TDI,7890.0,9780.0,11670.0,13560.0,15450.0,17340.0,19230.0,21120.0
Hyundai Kona*,17021.61,18023.09,18995.25,19929.33,20817.11,21651.0,22424.13,23130.4
