Model,2023,2024,2025,2026,2027,2028,2029,2030
Skoda Scala TSI,8220.0,10440.0,12660.0,14880.0,17100.0,19320.0,21540.0,23760.0
Skoda Scala TDI,8520.0,11040.0,13560.0,16080.0,18600.0,21120.0,23640.0,26160.0
Hyundai Kona*,17351.21,18652.32,19879.75,21011.92,22029.73,22916.85,23659.93,24248.63
